2024-03-11 16:07:25 - target 1: x: 0, y: 0

2024-03-11 16:07:25 - target 2: x: 0, y: 0

2024-03-11 16:07:25 - target 3: x: 0, y: 0

2024-03-11 16:07:25 - target 4: x: 0, y: 0

2024-03-11 16:07:25 - target 5: x: 0, y: 0

2024-03-11 16:07:25 - target 6: x: 0, y: 0

2024-03-11 16:07:25 - target 7: x: 0, y: 0

2024-03-11 16:07:25 - target 8: x: 0, y: 0

2024-03-11 16:07:25 - target 9: x: 0, y: 0

2024-03-11 16:07:25 - drone x: 10, y: 10

2024-03-11 16:07:25 - Height x: 38, width y: 100

2024-03-11 16:07:25 - world loop 248

2024-03-11 16:07:28 - target 1: x: 0, y: 0

2024-03-11 16:07:28 - target 2: x: 0, y: 0

2024-03-11 16:07:28 - target 3: x: 0, y: 0

2024-03-11 16:07:28 - target 4: x: 0, y: 0

2024-03-11 16:07:28 - target 5: x: 0, y: 0

2024-03-11 16:07:28 - target 6: x: 0, y: 0

2024-03-11 16:07:28 - target 7: x: 0, y: 0

2024-03-11 16:07:28 - target 8: x: 0, y: 0

2024-03-11 16:07:28 - target 9: x: 0, y: 0

2024-03-11 16:07:28 - drone x: 10, y: 10

2024-03-11 16:07:28 - Height x: 38, width y: 100

2024-03-11 16:07:28 - world loop 248

2024-03-11 16:07:30 - target 1: x: 0, y: 0

2024-03-11 16:07:30 - target 2: x: 0, y: 0

2024-03-11 16:07:30 - target 3: x: 0, y: 0

2024-03-11 16:07:30 - target 4: x: 0, y: 0

2024-03-11 16:07:30 - target 5: x: 0, y: 0

2024-03-11 16:07:30 - target 6: x: 0, y: 0

2024-03-11 16:07:30 - target 7: x: 0, y: 0

2024-03-11 16:07:30 - target 8: x: 0, y: 0

2024-03-11 16:07:30 - target 9: x: 0, y: 0

2024-03-11 16:07:30 - drone x: 10, y: 10

2024-03-11 16:07:30 - Height x: 38, width y: 100

2024-03-11 16:07:30 - world loop 248

2024-03-11 16:07:32 - target 1: x: 0, y: 0

2024-03-11 16:07:32 - target 2: x: 0, y: 0

2024-03-11 16:07:32 - target 3: x: 0, y: 0

2024-03-11 16:07:32 - target 4: x: 0, y: 0

2024-03-11 16:07:32 - target 5: x: 0, y: 0

2024-03-11 16:07:32 - target 6: x: 0, y: 0

2024-03-11 16:07:32 - target 7: x: 0, y: 0

2024-03-11 16:07:32 - target 8: x: 0, y: 0

2024-03-11 16:07:32 - target 9: x: 0, y: 0

2024-03-11 16:07:32 - drone x: 10, y: 10

2024-03-11 16:07:32 - Height x: 38, width y: 100

2024-03-11 16:07:32 - world loop 248

2024-03-11 16:07:35 - target 1: x: 0, y: 0

2024-03-11 16:07:35 - target 2: x: 0, y: 0

2024-03-11 16:07:35 - target 3: x: 0, y: 0

2024-03-11 16:07:35 - target 4: x: 0, y: 0

2024-03-11 16:07:35 - target 5: x: 0, y: 0

2024-03-11 16:07:35 - target 6: x: 0, y: 0

2024-03-11 16:07:35 - target 7: x: 0, y: 0

2024-03-11 16:07:35 - target 8: x: 0, y: 0

2024-03-11 16:07:35 - target 9: x: 0, y: 0

2024-03-11 16:07:35 - drone x: 10, y: 10

2024-03-11 16:07:35 - Height x: 38, width y: 100

2024-03-11 16:07:35 - world loop 248

2024-03-11 16:07:37 - target 1: x: 0, y: 0

2024-03-11 16:07:37 - target 2: x: 0, y: 0

2024-03-11 16:07:37 - target 3: x: 0, y: 0

2024-03-11 16:07:37 - target 4: x: 0, y: 0

2024-03-11 16:07:37 - target 5: x: 0, y: 0

2024-03-11 16:07:37 - target 6: x: 0, y: 0

2024-03-11 16:07:37 - target 7: x: 0, y: 0

2024-03-11 16:07:37 - target 8: x: 0, y: 0

2024-03-11 16:07:37 - target 9: x: 0, y: 0

2024-03-11 16:07:37 - drone x: 10, y: 10

2024-03-11 16:07:37 - Height x: 38, width y: 100

2024-03-11 16:07:37 - world loop 248

2024-03-11 16:07:40 - target 1: x: 0, y: 0

2024-03-11 16:07:40 - target 2: x: 0, y: 0

2024-03-11 16:07:40 - target 3: x: 0, y: 0

2024-03-11 16:07:40 - target 4: x: 0, y: 0

2024-03-11 16:07:40 - target 5: x: 0, y: 0

2024-03-11 16:07:40 - target 6: x: 0, y: 0

2024-03-11 16:07:40 - target 7: x: 0, y: 0

2024-03-11 16:07:40 - target 8: x: 0, y: 0

2024-03-11 16:07:40 - target 9: x: 0, y: 0

2024-03-11 16:07:40 - drone x: 10, y: 10

2024-03-11 16:07:40 - Height x: 38, width y: 100

2024-03-11 16:07:40 - world loop 248

2024-03-11 16:07:42 - target 1: x: 0, y: 0

2024-03-11 16:07:42 - target 2: x: 0, y: 0

2024-03-11 16:07:42 - target 3: x: 0, y: 0

2024-03-11 16:07:42 - target 4: x: 0, y: 0

2024-03-11 16:07:42 - target 5: x: 0, y: 0

2024-03-11 16:07:42 - target 6: x: 0, y: 0

2024-03-11 16:07:42 - target 7: x: 0, y: 0

2024-03-11 16:07:42 - target 8: x: 0, y: 0

2024-03-11 16:07:42 - target 9: x: 0, y: 0

2024-03-11 16:07:42 - drone x: 10, y: 10

2024-03-11 16:07:42 - Height x: 38, width y: 100

2024-03-11 16:07:42 - world loop 248

2024-03-11 16:07:44 - target 1: x: 0, y: 0

2024-03-11 16:07:44 - target 2: x: 0, y: 0

2024-03-11 16:07:44 - target 3: x: 0, y: 0

2024-03-11 16:07:44 - target 4: x: 0, y: 0

2024-03-11 16:07:44 - target 5: x: 0, y: 0

2024-03-11 16:07:44 - target 6: x: 0, y: 0

2024-03-11 16:07:44 - target 7: x: 0, y: 0

2024-03-11 16:07:44 - target 8: x: 0, y: 0

2024-03-11 16:07:44 - target 9: x: 0, y: 0

2024-03-11 16:07:44 - drone x: 10, y: 10

2024-03-11 16:07:44 - Height x: 38, width y: 100

2024-03-11 16:07:44 - world loop 248

2024-03-11 16:07:47 - target 1: x: 0, y: 0

2024-03-11 16:07:47 - target 2: x: 0, y: 0

2024-03-11 16:07:47 - target 3: x: 0, y: 0

2024-03-11 16:07:47 - target 4: x: 0, y: 0

2024-03-11 16:07:47 - target 5: x: 0, y: 0

2024-03-11 16:07:47 - target 6: x: 0, y: 0

2024-03-11 16:07:47 - target 7: x: 0, y: 0

2024-03-11 16:07:47 - target 8: x: 0, y: 0

2024-03-11 16:07:47 - target 9: x: 0, y: 0

2024-03-11 16:07:47 - drone x: 10, y: 10

2024-03-11 16:07:47 - Height x: 38, width y: 100

2024-03-11 16:07:47 - world loop 248

2024-03-11 16:07:49 - target 1: x: 0, y: 0

2024-03-11 16:07:49 - target 2: x: 0, y: 0

2024-03-11 16:07:49 - target 3: x: 0, y: 0

2024-03-11 16:07:49 - target 4: x: 0, y: 0

2024-03-11 16:07:49 - target 5: x: 0, y: 0

2024-03-11 16:07:49 - target 6: x: 0, y: 0

2024-03-11 16:07:49 - target 7: x: 0, y: 0

2024-03-11 16:07:49 - target 8: x: 0, y: 0

2024-03-11 16:07:49 - target 9: x: 0, y: 0

2024-03-11 16:07:49 - drone x: 10, y: 10

2024-03-11 16:07:49 - Height x: 38, width y: 100

2024-03-11 16:07:49 - world loop 248

2024-03-11 16:07:52 - target 1: x: 0, y: 0

2024-03-11 16:07:52 - target 2: x: 0, y: 0

2024-03-11 16:07:52 - target 3: x: 0, y: 0

2024-03-11 16:07:52 - target 4: x: 0, y: 0

2024-03-11 16:07:52 - target 5: x: 0, y: 0

2024-03-11 16:07:52 - target 6: x: 0, y: 0

2024-03-11 16:07:52 - target 7: x: 0, y: 0

2024-03-11 16:07:52 - target 8: x: 0, y: 0

2024-03-11 16:07:52 - target 9: x: 0, y: 0

2024-03-11 16:07:52 - drone x: 10, y: 10

2024-03-11 16:07:52 - Height x: 38, width y: 100

2024-03-11 16:07:52 - world loop 248

2024-03-11 16:07:54 - target 1: x: 0, y: 0

2024-03-11 16:07:54 - target 2: x: 0, y: 0

2024-03-11 16:07:54 - target 3: x: 0, y: 0

2024-03-11 16:07:54 - target 4: x: 0, y: 0

2024-03-11 16:07:54 - target 5: x: 0, y: 0

2024-03-11 16:07:54 - target 6: x: 0, y: 0

2024-03-11 16:07:54 - target 7: x: 0, y: 0

2024-03-11 16:07:54 - target 8: x: 0, y: 0

2024-03-11 16:07:54 - target 9: x: 0, y: 0

2024-03-11 16:07:54 - drone x: 11, y: 10

